artifactId,name,type,category,route,sourceFile,frontendStatus,backendStatus,demoStatus,assetPack,product,workspace,roles,organizationTypes,riskLevel,description,dependencies,tags,embeddingText,status
api-patch-api-workspaces-workspaceid-tools,PATCH /api/workspaces/:workspaceId/tools,api-endpoint,WorkspacesController,/api/workspaces/:workspaceId/tools,backend/WorkspacesController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,WorkspacesController exposes PATCH /api/workspaces/:workspaceId/tools.,WorkspacesController,api|PATCH|WorkspacesController,api-patch-api-workspaces-workspaceid-tools patch api workspaces workspaceid tools api-endpoint workspacescontroller api workspaces workspaceid tools unknown unknown backend unknown unknown high workspacescontroller exposes patch api workspaces workspaceid tools workspacescontroller api patch workspacescontroller,active
api-post-api-activity,POST /api/activity,api-endpoint,UserActivityController,/api/activity,backend/UserActivityController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,UserActivityController exposes POST /api/activity.,UserActivityController,api|POST|UserActivityController,api-post-api-activity post api activity api-endpoint useractivitycontroller api activity unknown unknown backend unknown unknown high useractivitycontroller exposes post api activity useractivitycontroller api post useractivitycontroller,active
api-post-api-ai-node,POST /api/ai/node,api-endpoint,AIController,/api/ai/node,backend/AIController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,AIController exposes POST /api/ai/node.,AIController,api|POST|AIController,api-post-api-ai-node post api ai node api-endpoint aicontroller api ai node unknown unknown backend unknown unknown high aicontroller exposes post api ai node aicontroller api post aicontroller,active
api-post-api-ai-node-conversational,POST /api/ai/node/conversational,api-endpoint,EmergencyAIController,/api/ai/node/conversational,backend/EmergencyAIController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,EmergencyAIController exposes POST /api/ai/node/conversational.,EmergencyAIController,api|POST|EmergencyAIController,api-post-api-ai-node-conversational post api ai node conversational api-endpoint emergencyaicontroller api ai node conversational unknown unknown backend unknown unknown high emergencyaicontroller exposes post api ai node conversational emergencyaicontroller api post emergencyaicontroller,active
api-post-api-ai-query,POST /api/ai/query,api-endpoint,AiController,/api/ai/query,backend/AiController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,AiController exposes POST /api/ai/query.,AiController,api|POST|AiController,api-post-api-ai-query post api ai query api-endpoint aicontroller api ai query unknown unknown backend unknown unknown high aicontroller exposes post api ai query aicontroller api post aicontroller,active
api-post-api-ai-structured,POST /api/ai/structured,api-endpoint,AiController,/api/ai/structured,backend/AiController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,AiController exposes POST /api/ai/structured.,AiController,api|POST|AiController,api-post-api-ai-structured post api ai structured api-endpoint aicontroller api ai structured unknown unknown backend unknown unknown high aicontroller exposes post api ai structured aicontroller api post aicontroller,active
api-post-api-analytics-events,POST /api/analytics/events,api-endpoint,AnalyticsController,/api/analytics/events,backend/AnalyticsController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,AnalyticsController exposes POST /api/analytics/events.,AnalyticsController,api|POST|AnalyticsController,api-post-api-analytics-events post api analytics events api-endpoint analyticscontroller api analytics events unknown unknown backend unknown unknown high analyticscontroller exposes post api analytics events analyticscontroller api post analyticscontroller,active
api-post-api-artifacts,POST /api/artifacts,api-endpoint,ArtifactsController,/api/artifacts,backend/ArtifactsController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,ArtifactsController exposes POST /api/artifacts.,ArtifactsController,api|POST|ArtifactsController,api-post-api-artifacts post api artifacts api-endpoint artifactscontroller api artifacts unknown unknown backend unknown unknown high artifactscontroller exposes post api artifacts artifactscontroller api post artifactscontroller,active
api-post-api-audit-export,POST /api/audit/export,api-endpoint,PlatformSystemsController,/api/audit/export,backend/PlatformSystemsController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,PlatformSystemsController exposes POST /api/audit/export.,PlatformSystemsController,api|POST|PlatformSystemsController,api-post-api-audit-export post api audit export api-endpoint platformsystemscontroller api audit export unknown unknown backend unknown unknown high platformsystemscontroller exposes post api audit export platformsystemscontroller api post platformsystemscontroller,active
api-post-api-audit-integrity-verify,POST /api/audit/integrity/verify,api-endpoint,PlatformSystemsController,/api/audit/integrity/verify,backend/PlatformSystemsController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,PlatformSystemsController exposes POST /api/audit/integrity/verify.,PlatformSystemsController,api|POST|PlatformSystemsController,api-post-api-audit-integrity-verify post api audit integrity verify api-endpoint platformsystemscontroller api audit integrity verify unknown unknown backend unknown unknown high platformsystemscontroller exposes post api audit integrity verify platformsystemscontroller api post platformsystemscontroller,active
api-post-api-audit-sync,POST /api/audit/sync,api-endpoint,AuditController,/api/audit/sync,backend/AuditController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,AuditController exposes POST /api/audit/sync.,AuditController,api|POST|AuditController,api-post-api-audit-sync post api audit sync api-endpoint auditcontroller api audit sync unknown unknown backend unknown unknown high auditcontroller exposes post api audit sync auditcontroller api post auditcontroller,active
api-post-api-auth-biometric-enroll,POST /api/auth/biometric/enroll,api-endpoint,BiometricController,/api/auth/biometric/enroll,backend/BiometricController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,BiometricController exposes POST /api/auth/biometric/enroll.,BiometricController,api|POST|BiometricController,api-post-api-auth-biometric-enroll post api auth biometric enroll api-endpoint biometriccontroller api auth biometric enroll unknown unknown backend unknown unknown high biometriccontroller exposes post api auth biometric enroll biometriccontroller api post biometriccontroller,active
api-post-api-auth-biometric-verify,POST /api/auth/biometric/verify,api-endpoint,BiometricController,/api/auth/biometric/verify,backend/BiometricController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,BiometricController exposes POST /api/auth/biometric/verify.,BiometricController,api|POST|BiometricController,api-post-api-auth-biometric-verify post api auth biometric verify api-endpoint biometriccontroller api auth biometric verify unknown unknown backend unknown unknown high biometriccontroller exposes post api auth biometric verify biometriccontroller api post biometriccontroller,active
api-post-api-auth-dev-session,POST /api/auth/dev-session,api-endpoint,AuthController,/api/auth/dev-session,backend/AuthController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,AuthController exposes POST /api/auth/dev-session.,AuthController,api|POST|AuthController,api-post-api-auth-dev-session post api auth dev-session api-endpoint authcontroller api auth dev-session unknown unknown backend unknown unknown high authcontroller exposes post api auth dev-session authcontroller api post authcontroller,active
api-post-api-auth-forgot-password,POST /api/auth/forgot-password,api-endpoint,AuthController,/api/auth/forgot-password,backend/AuthController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,AuthController exposes POST /api/auth/forgot-password.,AuthController,api|POST|AuthController,api-post-api-auth-forgot-password post api auth forgot-password api-endpoint authcontroller api auth forgot-password unknown unknown backend unknown unknown high authcontroller exposes post api auth forgot-password authcontroller api post authcontroller,active
api-post-api-auth-login,POST /api/auth/login,api-endpoint,AuthController,/api/auth/login,backend/AuthController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,AuthController exposes POST /api/auth/login.,AuthController,api|POST|AuthController,api-post-api-auth-login post api auth login api-endpoint authcontroller api auth login unknown unknown backend unknown unknown high authcontroller exposes post api auth login authcontroller api post authcontroller,active
api-post-api-auth-magic-link,POST /api/auth/magic-link,api-endpoint,AuthController,/api/auth/magic-link,backend/AuthController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,AuthController exposes POST /api/auth/magic-link.,AuthController,api|POST|AuthController,api-post-api-auth-magic-link post api auth magic-link api-endpoint authcontroller api auth magic-link unknown unknown backend unknown unknown high authcontroller exposes post api auth magic-link authcontroller api post authcontroller,active
api-post-api-auth-register,POST /api/auth/register,api-endpoint,AuthController,/api/auth/register,backend/AuthController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,AuthController exposes POST /api/auth/register.,AuthController,api|POST|AuthController,api-post-api-auth-register post api auth register api-endpoint authcontroller api auth register unknown unknown backend unknown unknown high authcontroller exposes post api auth register authcontroller api post authcontroller,active
api-post-api-auth-reset-password,POST /api/auth/reset-password,api-endpoint,AuthController,/api/auth/reset-password,backend/AuthController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,AuthController exposes POST /api/auth/reset-password.,AuthController,api|POST|AuthController,api-post-api-auth-reset-password post api auth reset-password api-endpoint authcontroller api auth reset-password unknown unknown backend unknown unknown high authcontroller exposes post api auth reset-password authcontroller api post authcontroller,active
api-post-api-auth-verify-2fa,POST /api/auth/verify-2fa,api-endpoint,AuthController,/api/auth/verify-2fa,backend/AuthController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,AuthController exposes POST /api/auth/verify-2fa.,AuthController,api|POST|AuthController,api-post-api-auth-verify-2fa post api auth verify-2fa api-endpoint authcontroller api auth verify-2fa unknown unknown backend unknown unknown high authcontroller exposes post api auth verify-2fa authcontroller api post authcontroller,active
api-post-api-automation-audit,POST /api/automation-audit,api-endpoint,AutomationAuditController,/api/automation-audit,backend/AutomationAuditController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,AutomationAuditController exposes POST /api/automation-audit.,AutomationAuditController,api|POST|AutomationAuditController,api-post-api-automation-audit post api automation-audit api-endpoint automationauditcontroller api automation-audit unknown unknown backend unknown unknown high automationauditcontroller exposes post api automation-audit automationauditcontroller api post automationauditcontroller,active
api-post-api-chat-analyze-vitals,POST /api/chat/analyze-vitals,api-endpoint,ChatController,/api/chat/analyze-vitals,backend/ChatController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,ChatController exposes POST /api/chat/analyze-vitals.,ChatController,api|POST|ChatController,api-post-api-chat-analyze-vitals post api chat analyze-vitals api-endpoint chatcontroller api chat analyze-vitals unknown unknown backend unknown unknown high chatcontroller exposes post api chat analyze-vitals chatcontroller api post chatcontroller,active
api-post-api-chat-intent-classify,POST /api/chat/intent-classify,api-endpoint,ChatController,/api/chat/intent-classify,backend/ChatController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,ChatController exposes POST /api/chat/intent-classify.,ChatController,api|POST|ChatController,api-post-api-chat-intent-classify post api chat intent-classify api-endpoint chatcontroller api chat intent-classify unknown unknown backend unknown unknown high chatcontroller exposes post api chat intent-classify chatcontroller api post chatcontroller,active
api-post-api-chat-message,POST /api/chat/message,api-endpoint,ChatController,/api/chat/message,backend/ChatController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,ChatController exposes POST /api/chat/message.,ChatController,api|POST|ChatController,api-post-api-chat-message post api chat message api-endpoint chatcontroller api chat message unknown unknown backend unknown unknown high chatcontroller exposes post api chat message chatcontroller api post chatcontroller,active
api-post-api-chat-message-3d,POST /api/chat/message-3d,api-endpoint,ChatController,/api/chat/message-3d,backend/ChatController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,ChatController exposes POST /api/chat/message-3d.,ChatController,api|POST|ChatController,api-post-api-chat-message-3d post api chat message-3d api-endpoint chatcontroller api chat message-3d unknown unknown backend unknown unknown high chatcontroller exposes post api chat message-3d chatcontroller api post chatcontroller,active
api-post-api-chat-suggest-action,POST /api/chat/suggest-action,api-endpoint,ChatController,/api/chat/suggest-action,backend/ChatController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,ChatController exposes POST /api/chat/suggest-action.,ChatController,api|POST|ChatController,api-post-api-chat-suggest-action post api chat suggest-action api-endpoint chatcontroller api chat suggest-action unknown unknown backend unknown unknown high chatcontroller exposes post api chat suggest-action chatcontroller api post chatcontroller,active
api-post-api-clinical-alerts-alertid-acknowledge,POST /api/clinical/alerts/:alertId/acknowledge,api-endpoint,ClinicalAlertsController,/api/clinical/alerts/:alertId/acknowledge,backend/ClinicalAlertsController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,ClinicalAlertsController exposes POST /api/clinical/alerts/:alertId/acknowledge.,ClinicalAlertsController,api|POST|ClinicalAlertsController,api-post-api-clinical-alerts-alertid-acknowledge post api clinical alerts alertid acknowledge api-endpoint clinicalalertscontroller api clinical alerts alertid acknowledge unknown unknown backend unknown unknown high clinicalalertscontroller exposes post api clinical alerts alertid acknowledge clinicalalertscontroller api post clinicalalertscontroller,active
api-post-api-clinical-alerts-alertid-dismiss,POST /api/clinical/alerts/:alertId/dismiss,api-endpoint,ClinicalAlertsController,/api/clinical/alerts/:alertId/dismiss,backend/ClinicalAlertsController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,ClinicalAlertsController exposes POST /api/clinical/alerts/:alertId/dismiss.,ClinicalAlertsController,api|POST|ClinicalAlertsController,api-post-api-clinical-alerts-alertid-dismiss post api clinical alerts alertid dismiss api-endpoint clinicalalertscontroller api clinical alerts alertid dismiss unknown unknown backend unknown unknown high clinicalalertscontroller exposes post api clinical alerts alertid dismiss clinicalalertscontroller api post clinicalalertscontroller,active
api-post-api-clinical-intelligence-ambient-scribe-generate,POST /api/clinical-intelligence/ambient-scribe/generate,api-endpoint,ClinicalIntelligenceController,/api/clinical-intelligence/ambient-scribe/generate,backend/ClinicalIntelligenceController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,ClinicalIntelligenceController exposes POST /api/clinical-intelligence/ambient-scribe/generate.,ClinicalIntelligenceController,api|POST|ClinicalIntelligenceController,api-post-api-clinical-intelligence-ambient-scribe-generate post api clinical-intelligence ambient-scribe generate api-endpoint clinicalintelligencecontroller api clinical-intelligence ambient-scribe generate unknown unknown backend unknown unknown high clinicalintelligencecontroller exposes post api clinical-intelligence ambient-scribe generate clinicalintelligencecontroller api post clinicalintelligencecontroller,active
api-post-api-clinical-intelligence-audit-trail-summarize,POST /api/clinical-intelligence/audit-trail/summarize,api-endpoint,PlatformSystemsController,/api/clinical-intelligence/audit-trail/summarize,backend/PlatformSystemsController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,PlatformSystemsController exposes POST /api/clinical-intelligence/audit-trail/summarize.,PlatformSystemsController,api|POST|PlatformSystemsController,api-post-api-clinical-intelligence-audit-trail-summarize post api clinical-intelligence audit-trail summarize api-endpoint platformsystemscontroller api clinical-intelligence audit-trail summarize unknown unknown backend unknown unknown high platformsystemscontroller exposes post api clinical-intelligence audit-trail summarize platformsystemscontroller api post platformsystemscontroller,active
api-post-api-clinical-intelligence-calculator-recommender-suggest,POST /api/clinical-intelligence/calculator-recommender/suggest,api-endpoint,PlatformSystemsController,/api/clinical-intelligence/calculator-recommender/suggest,backend/PlatformSystemsController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,PlatformSystemsController exposes POST /api/clinical-intelligence/calculator-recommender/suggest.,PlatformSystemsController,api|POST|PlatformSystemsController,api-post-api-clinical-intelligence-calculator-recommender-suggest post api clinical-intelligence calculator-recommender suggest api-endpoint platformsystemscontroller api clinical-intelligence calculator-recommender suggest unknown unknown backend unknown unknown high platformsystemscontroller exposes post api clinical-intelligence calculator-recommender suggest platformsystemscontroller api post platformsystemscontroller,active
api-post-api-clinical-intelligence-clinical-event-ai-draft,POST /api/clinical-intelligence/clinical-event-ai/draft,api-endpoint,PlatformSystemsController,/api/clinical-intelligence/clinical-event-ai/draft,backend/PlatformSystemsController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,PlatformSystemsController exposes POST /api/clinical-intelligence/clinical-event-ai/draft.,PlatformSystemsController,api|POST|PlatformSystemsController,api-post-api-clinical-intelligence-clinical-event-ai-draft post api clinical-intelligence clinical-event-ai draft api-endpoint platformsystemscontroller api clinical-intelligence clinical-event-ai draft unknown unknown backend unknown unknown high platformsystemscontroller exposes post api clinical-intelligence clinical-event-ai draft platformsystemscontroller api post platformsystemscontroller,active
api-post-api-clinical-intelligence-differential-ai-generate,POST /api/clinical-intelligence/differential-ai/generate,api-endpoint,ClinicalIntelligenceController,/api/clinical-intelligence/differential-ai/generate,backend/ClinicalIntelligenceController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,ClinicalIntelligenceController exposes POST /api/clinical-intelligence/differential-ai/generate.,ClinicalIntelligenceController,api|POST|ClinicalIntelligenceController,api-post-api-clinical-intelligence-differential-ai-generate post api clinical-intelligence differential-ai generate api-endpoint clinicalintelligencecontroller api clinical-intelligence differential-ai generate unknown unknown backend unknown unknown high clinicalintelligencecontroller exposes post api clinical-intelligence differential-ai generate clinicalintelligencecontroller api post clinicalintelligencecontroller,active
api-post-api-clinical-intelligence-guideline-rag-query,POST /api/clinical-intelligence/guideline-rag/query,api-endpoint,ClinicalIntelligenceController,/api/clinical-intelligence/guideline-rag/query,backend/ClinicalIntelligenceController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,ClinicalIntelligenceController exposes POST /api/clinical-intelligence/guideline-rag/query.,ClinicalIntelligenceController,api|POST|ClinicalIntelligenceController,api-post-api-clinical-intelligence-guideline-rag-query post api clinical-intelligence guideline-rag query api-endpoint clinicalintelligencecontroller api clinical-intelligence guideline-rag query unknown unknown backend unknown unknown high clinicalintelligencecontroller exposes post api clinical-intelligence guideline-rag query clinicalintelligencecontroller api post clinicalintelligencecontroller,active
api-post-api-clinical-intelligence-order-set-ai-generate,POST /api/clinical-intelligence/order-set-ai/generate,api-endpoint,ClinicalIntelligenceController,/api/clinical-intelligence/order-set-ai/generate,backend/ClinicalIntelligenceController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,ClinicalIntelligenceController exposes POST /api/clinical-intelligence/order-set-ai/generate.,ClinicalIntelligenceController,api|POST|ClinicalIntelligenceController,api-post-api-clinical-intelligence-order-set-ai-generate post api clinical-intelligence order-set-ai generate api-endpoint clinicalintelligencecontroller api clinical-intelligence order-set-ai generate unknown unknown backend unknown unknown high clinicalintelligencecontroller exposes post api clinical-intelligence order-set-ai generate clinicalintelligencecontroller api post clinicalintelligencecontroller,active
api-post-api-clinical-intelligence-patient-summary-ai-generate,POST /api/clinical-intelligence/patient-summary-ai/generate,api-endpoint,ClinicalIntelligenceController,/api/clinical-intelligence/patient-summary-ai/generate,backend/ClinicalIntelligenceController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,ClinicalIntelligenceController exposes POST /api/clinical-intelligence/patient-summary-ai/generate.,ClinicalIntelligenceController,api|POST|ClinicalIntelligenceController,api-post-api-clinical-intelligence-patient-summary-ai-generate post api clinical-intelligence patient-summary-ai generate api-endpoint clinicalintelligencecontroller api clinical-intelligence patient-summary-ai generate unknown unknown backend unknown unknown high clinicalintelligencecontroller exposes post api clinical-intelligence patient-summary-ai generate clinicalintelligencecontroller api post clinicalintelligencecontroller,active
api-post-api-clinical-intelligence-reasoning-analyze,POST /api/clinical-intelligence/reasoning/analyze,api-endpoint,PlatformSystemsController,/api/clinical-intelligence/reasoning/analyze,backend/PlatformSystemsController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,PlatformSystemsController exposes POST /api/clinical-intelligence/reasoning/analyze.,PlatformSystemsController,api|POST|PlatformSystemsController,api-post-api-clinical-intelligence-reasoning-analyze post api clinical-intelligence reasoning analyze api-endpoint platformsystemscontroller api clinical-intelligence reasoning analyze unknown unknown backend unknown unknown high platformsystemscontroller exposes post api clinical-intelligence reasoning analyze platformsystemscontroller api post platformsystemscontroller,active
api-post-api-clinical-intelligence-timeline-ai-generate,POST /api/clinical-intelligence/timeline-ai/generate,api-endpoint,ClinicalIntelligenceController,/api/clinical-intelligence/timeline-ai/generate,backend/ClinicalIntelligenceController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,ClinicalIntelligenceController exposes POST /api/clinical-intelligence/timeline-ai/generate.,ClinicalIntelligenceController,api|POST|ClinicalIntelligenceController,api-post-api-clinical-intelligence-timeline-ai-generate post api clinical-intelligence timeline-ai generate api-endpoint clinicalintelligencecontroller api clinical-intelligence timeline-ai generate unknown unknown backend unknown unknown high clinicalintelligencecontroller exposes post api clinical-intelligence timeline-ai generate clinicalintelligencecontroller api post clinicalintelligencecontroller,active
api-post-api-clinical-intelligence-why-engine-explain,POST /api/clinical-intelligence/why-engine/explain,api-endpoint,PlatformSystemsController,/api/clinical-intelligence/why-engine/explain,backend/PlatformSystemsController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,PlatformSystemsController exposes POST /api/clinical-intelligence/why-engine/explain.,PlatformSystemsController,api|POST|PlatformSystemsController,api-post-api-clinical-intelligence-why-engine-explain post api clinical-intelligence why-engine explain api-endpoint platformsystemscontroller api clinical-intelligence why-engine explain unknown unknown backend unknown unknown high platformsystemscontroller exposes post api clinical-intelligence why-engine explain platformsystemscontroller api post platformsystemscontroller,active
api-post-api-clinical-intelligence-workflow-builder-generate,POST /api/clinical-intelligence/workflow-builder/generate,api-endpoint,PlatformSystemsController,/api/clinical-intelligence/workflow-builder/generate,backend/PlatformSystemsController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,PlatformSystemsController exposes POST /api/clinical-intelligence/workflow-builder/generate.,PlatformSystemsController,api|POST|PlatformSystemsController,api-post-api-clinical-intelligence-workflow-builder-generate post api clinical-intelligence workflow-builder generate api-endpoint platformsystemscontroller api clinical-intelligence workflow-builder generate unknown unknown backend unknown unknown high platformsystemscontroller exposes post api clinical-intelligence workflow-builder generate platformsystemscontroller api post platformsystemscontroller,active
api-post-api-collaboration-channels,POST /api/collaboration/channels,api-endpoint,CollaborationHubController,/api/collaboration/channels,backend/CollaborationHubController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,CollaborationHubController exposes POST /api/collaboration/channels.,CollaborationHubController,api|POST|CollaborationHubController,api-post-api-collaboration-channels post api collaboration channels api-endpoint collaborationhubcontroller api collaboration channels unknown unknown backend unknown unknown high collaborationhubcontroller exposes post api collaboration channels collaborationhubcontroller api post collaborationhubcontroller,active
api-post-api-collaboration-channels-channelid-archive,POST /api/collaboration/channels/:channelId/archive,api-endpoint,CollaborationHubController,/api/collaboration/channels/:channelId/archive,backend/CollaborationHubController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,CollaborationHubController exposes POST /api/collaboration/channels/:channelId/archive.,CollaborationHubController,api|POST|CollaborationHubController,api-post-api-collaboration-channels-channelid-archive post api collaboration channels channelid archive api-endpoint collaborationhubcontroller api collaboration channels channelid archive unknown unknown backend unknown unknown high collaborationhubcontroller exposes post api collaboration channels channelid archive collaborationhubcontroller api post collaborationhubcontroller,active
api-post-api-collaboration-channels-channelid-external-links,POST /api/collaboration/channels/:channelId/external-links,api-endpoint,CollaborationHubController,/api/collaboration/channels/:channelId/external-links,backend/CollaborationHubController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,CollaborationHubController exposes POST /api/collaboration/channels/:channelId/external-links.,CollaborationHubController,api|POST|CollaborationHubController,api-post-api-collaboration-channels-channelid-external-links post api collaboration channels channelid external-links api-endpoint collaborationhubcontroller api collaboration channels channelid external-links unknown unknown backend unknown unknown high collaborationhubcontroller exposes post api collaboration channels channelid external-links collaborationhubcontroller api post collaborationhubcontroller,active
api-post-api-collaboration-channels-channelid-messages,POST /api/collaboration/channels/:channelId/messages,api-endpoint,CollaborationHubController,/api/collaboration/channels/:channelId/messages,backend/CollaborationHubController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,CollaborationHubController exposes POST /api/collaboration/channels/:channelId/messages.,CollaborationHubController,api|POST|CollaborationHubController,api-post-api-collaboration-channels-channelid-messages post api collaboration channels channelid messages api-endpoint collaborationhubcontroller api collaboration channels channelid messages unknown unknown backend unknown unknown high collaborationhubcontroller exposes post api collaboration channels channelid messages collaborationhubcontroller api post collaborationhubcontroller,active
api-post-api-collaboration-channels-channelid-read,POST /api/collaboration/channels/:channelId/read,api-endpoint,CollaborationHubController,/api/collaboration/channels/:channelId/read,backend/CollaborationHubController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,CollaborationHubController exposes POST /api/collaboration/channels/:channelId/read.,CollaborationHubController,api|POST|CollaborationHubController,api-post-api-collaboration-channels-channelid-read post api collaboration channels channelid read api-endpoint collaborationhubcontroller api collaboration channels channelid read unknown unknown backend unknown unknown high collaborationhubcontroller exposes post api collaboration channels channelid read collaborationhubcontroller api post collaborationhubcontroller,active
api-post-api-collaboration-channels-channelid-typing,POST /api/collaboration/channels/:channelId/typing,api-endpoint,CollaborationHubController,/api/collaboration/channels/:channelId/typing,backend/CollaborationHubController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,CollaborationHubController exposes POST /api/collaboration/channels/:channelId/typing.,CollaborationHubController,api|POST|CollaborationHubController,api-post-api-collaboration-channels-channelid-typing post api collaboration channels channelid typing api-endpoint collaborationhubcontroller api collaboration channels channelid typing unknown unknown backend unknown unknown high collaborationhubcontroller exposes post api collaboration channels channelid typing collaborationhubcontroller api post collaborationhubcontroller,active
api-post-api-collaboration-incidents,POST /api/collaboration/incidents,api-endpoint,CollaborationHubController,/api/collaboration/incidents,backend/CollaborationHubController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,CollaborationHubController exposes POST /api/collaboration/incidents.,CollaborationHubController,api|POST|CollaborationHubController,api-post-api-collaboration-incidents post api collaboration incidents api-endpoint collaborationhubcontroller api collaboration incidents unknown unknown backend unknown unknown high collaborationhubcontroller exposes post api collaboration incidents collaborationhubcontroller api post collaborationhubcontroller,active
api-post-api-collaboration-incidents-channelid-resolve,POST /api/collaboration/incidents/:channelId/resolve,api-endpoint,CollaborationHubController,/api/collaboration/incidents/:channelId/resolve,backend/CollaborationHubController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,CollaborationHubController exposes POST /api/collaboration/incidents/:channelId/resolve.,CollaborationHubController,api|POST|CollaborationHubController,api-post-api-collaboration-incidents-channelid-resolve post api collaboration incidents channelid resolve api-endpoint collaborationhubcontroller api collaboration incidents channelid resolve unknown unknown backend unknown unknown high collaborationhubcontroller exposes post api collaboration incidents channelid resolve collaborationhubcontroller api post collaborationhubcontroller,active
api-post-api-collaboration-messages-messageid-attachments,POST /api/collaboration/messages/:messageId/attachments,api-endpoint,CollaborationHubController,/api/collaboration/messages/:messageId/attachments,backend/CollaborationHubController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,CollaborationHubController exposes POST /api/collaboration/messages/:messageId/attachments.,CollaborationHubController,api|POST|CollaborationHubController,api-post-api-collaboration-messages-messageid-attachments post api collaboration messages messageid attachments api-endpoint collaborationhubcontroller api collaboration messages messageid attachments unknown unknown backend unknown unknown high collaborationhubcontroller exposes post api collaboration messages messageid attachments collaborationhubcontroller api post collaborationhubcontroller,active
api-post-api-collaboration-messages-messageid-pin,POST /api/collaboration/messages/:messageId/pin,api-endpoint,CollaborationHubController,/api/collaboration/messages/:messageId/pin,backend/CollaborationHubController,api-inventory,backend-controller,live-or-local,unknown,unknown,backend,unknown,unknown,high,CollaborationHubController exposes POST /api/collaboration/messages/:messageId/pin.,CollaborationHubController,api|POST|CollaborationHubController,api-post-api-collaboration-messages-messageid-pin post api collaboration messages messageid pin api-endpoint collaborationhubcontroller api collaboration messages messageid pin unknown unknown backend unknown unknown high collaborationhubcontroller exposes post api collaboration messages messageid pin collaborationhubcontroller api post collaborationhubcontroller,active
