artifactId,normalizedText,tags,typeEncoding,roleEncoding,workspaceEncoding,packEncoding,dependencyCount,riskScore,readinessScore
ai-explainability,ai-explainability ai explainability tool reference tools ai-explainability governance-compliance-pack ai-workflow-pack core-platform product-governance product-core-platform clinical reference governance audit assistant ai-workflow operations emergency physician hospitalist nurse icu clinician medical student emergency-physician icu-physician hospital-administrator platform-admin hospital medium tier c clinical intelligence workflow that displays confidence sources reasoning tool chain and sanitized execution logs api clinical-intelligence ai-explainability trace src pages tools aiexplainability tsx src services clinicalintelligenceapi ts toolinventory test ts clinicaltoolidcontract test ts clinicaltoolaliassync test ts medicaltoolscatalogindex test ts medicalexpansioncrosspackvalidation test ts clinicalcataloglaunch test js tool reference clinical reference governance audit assistant ai-workflow operations governance-compliance-pack ai-workflow-pack core-platform,tool|Reference|clinical|reference|governance|audit|assistant|ai-workflow|operations|governance-compliance-pack|ai-workflow-pack|core-platform,type:tool,role:emergency-physician|role:hospitalist|role:nurse|role:icu-clinician|role:medical-student|role:icu-physician|role:hospital-administrator|role:platform-admin,workspace:clinical|workspace:reference|workspace:governance|workspace:audit|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:governance-compliance-pack|pack:ai-workflow-pack|pack:core-platform,9,0.5,0.82
ai-gateway,ai-gateway ai gateway tool ai system assistant ai-workflow-pack core-platform product-core-platform clinical assistant ai-workflow operations emergency physician hospitalist cardiologist nurse icu clinician pediatric clinician pharmacist fleet operator biomedical engineer administrator researcher medical student emergency-physician icu-physician hospital-administrator platform-admin hospital medium assistant gateway surface for routing trace metadata safety policy context and guarded clinical ai responses src pages assistant jsx src services clinicalchatservice ts toolinventory test ts clinicaltoolidcontract test ts clinicaltoolaliassync test ts medicaltoolscatalogindex test ts medicalexpansioncrosspackvalidation test ts clinicalcataloglaunch test js ai-assisted-tool ai system clinical assistant ai-workflow operations ai-workflow-pack core-platform,ai-assisted-tool|AI System|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,type:tool,role:emergency-physician|role:hospitalist|role:cardiologist|role:nurse|role:icu-clinician|role:pediatric-clinician|role:pharmacist|role:fleet-operator|role:biomedical-engineer|role:administrator|role:researcher|role:medical-student|role:icu-physician|role:hospital-administrator|role:platform-admin,workspace:clinical|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform,8,0.5,0.58
ai-governance,ai-governance ai governance governance ai system ai-governance governance-compliance-pack ai-workflow-pack core-platform product-governance product-core-platform admin governance audit assistant ai-workflow clinical operations administrator emergency-physician icu-physician nurse hospital-administrator platform-admin hospital high governance center for model inventory clinical review risk classification approval workflows and release history api ai-governance summary src pages platform platformgovernanceworkspace tsx src services platformgovernanceapi ts toolinventory test ts clinicaltoolidcontract test ts clinicaltoolaliassync test ts medicaltoolscatalogindex test ts medicalexpansioncrosspackvalidation test ts clinicalcataloglaunch test js governance ai system admin audit assistant ai-workflow clinical operations governance-compliance-pack ai-workflow-pack core-platform,governance|AI System|admin|audit|assistant|ai-workflow|clinical|operations|governance-compliance-pack|ai-workflow-pack|core-platform,type:governance,role:administrator|role:emergency-physician|role:icu-physician|role:nurse|role:hospital-administrator|role:platform-admin,workspace:admin|workspace:governance|workspace:audit|workspace:assistant|workspace:ai-workflow|workspace:clinical|workspace:operations,pack:governance-compliance-pack|pack:ai-workflow-pack|pack:core-platform,9,0.8,0.6
ai-memory,ai-memory ai memory tool ai system memory ai-workflow-pack core-platform product-core-platform clinical assistant ai-workflow operations emergency physician hospitalist cardiologist nurse icu clinician pediatric clinician pharmacist fleet operator biomedical engineer administrator researcher medical student emergency-physician icu-physician hospital-administrator platform-admin hospital medium memory dashboard for short long and clinical context used to personalize assistant workflows src pages memorydashboard jsx src services clinicalchatservice ts toolinventory test ts clinicaltoolidcontract test ts clinicaltoolaliassync test ts medicaltoolscatalogindex test ts medicalexpansioncrosspackvalidation test ts clinicalcataloglaunch test js ai-assisted-tool ai system clinical assistant ai-workflow operations ai-workflow-pack core-platform,ai-assisted-tool|AI System|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,type:tool,role:emergency-physician|role:hospitalist|role:cardiologist|role:nurse|role:icu-clinician|role:pediatric-clinician|role:pharmacist|role:fleet-operator|role:biomedical-engineer|role:administrator|role:researcher|role:medical-student|role:icu-physician|role:hospital-administrator|role:platform-admin,workspace:clinical|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform,8,0.5,0.58
ai-rag,ai-rag rag evidence engine tool ai system tools guideline-rag ai-workflow-pack core-platform research-education product-core-platform product-research research reference assistant ai-workflow clinical operations education researcher medical student hospitalist emergency-physician icu-physician nurse hospital-administrator platform-admin hospital medium retrieval-augmented evidence engine for guideline lookup citations source panels and grounded assistant responses src pages tools guidelinerag tsx src services clinicalchatservice ts toolinventory test ts clinicaltoolidcontract test ts clinicaltoolaliassync test ts medicaltoolscatalogindex test ts medicalexpansioncrosspackvalidation test ts clinicalcataloglaunch test js ai-assisted-tool ai system research reference assistant ai-workflow clinical operations education ai-workflow-pack core-platform research-education,ai-assisted-tool|AI System|research|reference|assistant|ai-workflow|clinical|operations|education|ai-workflow-pack|core-platform|research-education,type:tool,role:researcher|role:medical-student|role:hospitalist|role:emergency-physician|role:icu-physician|role:nurse|role:hospital-administrator|role:platform-admin,workspace:research|workspace:reference|workspace:assistant|workspace:ai-workflow|workspace:clinical|workspace:operations|workspace:education,pack:ai-workflow-pack|pack:core-platform|pack:research-education,8,0.5,0.58
ai-run-audit-timeline,ai-run-audit-timeline ai run audit timeline governance other audit ai ai-workflow-pack core-platform governance-compliance-pack product-core-platform product-governance admin assistant ai-workflow clinical operations governance audit administrator emergency-physician icu-physician nurse hospital-administrator platform-admin hospital high reconstruct ai gateway routing retrieval model tool response review and disposition events api audit runs runid src pages platform platformgovernanceworkspace tsx src services platformsystemsapi ts platformsystemsexpansionplan test ts routepagessmoke test jsx app permissions test tsx platformresponsive test jsx governance other admin assistant ai-workflow clinical operations audit ai-workflow-pack core-platform governance-compliance-pack,governance|Other|admin|assistant|ai-workflow|clinical|operations|audit|ai-workflow-pack|core-platform|governance-compliance-pack,type:governance,role:administrator|role:emergency-physician|role:icu-physician|role:nurse|role:hospital-administrator|role:platform-admin,workspace:admin|workspace:assistant|workspace:ai-workflow|workspace:clinical|workspace:operations|workspace:governance|workspace:audit,pack:ai-workflow-pack|pack:core-platform|pack:governance-compliance-pack,7,0.8,0.6
ai-security,ai-security llm security governance ai system security governance-compliance-pack ai-workflow-pack core-platform product-governance product-core-platform admin governance audit assistant ai-workflow clinical operations administrator emergency-physician icu-physician nurse hospital-administrator platform-admin hospital high security dashboard for prompt-injection detection phi protection output validation tool permissions and rate limits api security summary src pages platform platformgovernanceworkspace tsx src services platformgovernanceapi ts toolinventory test ts clinicaltoolidcontract test ts clinicaltoolaliassync test ts medicaltoolscatalogindex test ts medicalexpansioncrosspackvalidation test ts clinicalcataloglaunch test js governance ai system admin audit assistant ai-workflow clinical operations governance-compliance-pack ai-workflow-pack core-platform,governance|AI System|admin|audit|assistant|ai-workflow|clinical|operations|governance-compliance-pack|ai-workflow-pack|core-platform,type:governance,role:administrator|role:emergency-physician|role:icu-physician|role:nurse|role:hospital-administrator|role:platform-admin,workspace:admin|workspace:governance|workspace:audit|workspace:assistant|workspace:ai-workflow|workspace:clinical|workspace:operations,pack:governance-compliance-pack|pack:ai-workflow-pack|pack:core-platform,9,0.8,0.6
ai-tool-calling,ai-tool-calling ai tool calling tool ai system assistant ai-workflow-pack core-platform product-core-platform admin assistant ai-workflow clinical operations administrator emergency-physician icu-physician nurse hospital-administrator platform-admin hospital high guarded tool-calling workflow for tool resolution parameter validation structured tool context and unsupported-tool boundaries src pages assistant jsx src services clinicalchatservice ts toolinventory test ts clinicaltoolidcontract test ts clinicaltoolaliassync test ts medicaltoolscatalogindex test ts medicalexpansioncrosspackvalidation test ts clinicalcataloglaunch test js ai-assisted-tool ai system admin assistant ai-workflow clinical operations ai-workflow-pack core-platform,ai-assisted-tool|AI System|admin|assistant|ai-workflow|clinical|operations|ai-workflow-pack|core-platform,type:tool,role:administrator|role:emergency-physician|role:icu-physician|role:nurse|role:hospital-administrator|role:platform-admin,workspace:admin|workspace:assistant|workspace:ai-workflow|workspace:clinical|workspace:operations,pack:ai-workflow-pack|pack:core-platform,8,0.8,0.58
ai-training,ai-training ai training pipeline tool ai system training ai-workflow-pack core-platform simulation-training-pack product-core-platform product-simulation-training simulation education clinical training assistant ai-workflow operations emergency physician nurse medical student icu clinician biomedical engineer fleet operator emergency-physician icu-physician hospital-administrator platform-admin hospital medium training and moe planning dashboard for governed ai iteration datasets and model improvement loops src pages trainingdashboard tsx src services clinicalchatservice ts toolinventory test ts clinicaltoolidcontract test ts clinicaltoolaliassync test ts medicaltoolscatalogindex test ts medicalexpansioncrosspackvalidation test ts clinicalcataloglaunch test js ai-assisted-tool ai system simulation education clinical training assistant ai-workflow operations ai-workflow-pack core-platform simulation-training-pack,ai-assisted-tool|AI System|simulation|education|clinical|training|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|simulation-training-pack,type:tool,role:emergency-physician|role:nurse|role:medical-student|role:icu-clinician|role:biomedical-engineer|role:fleet-operator|role:icu-physician|role:hospital-administrator|role:platform-admin,workspace:simulation|workspace:education|workspace:clinical|workspace:training|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform|pack:simulation-training-pack,8,0.5,0.58
aki-staging-assistant,aki-staging-assistant aki staging assistant tool calculator tools nephrology aki-staging-assistant ai-workflow-pack core-platform product-core-platform clinical calculator assistant ai-workflow operations emergency physician hospitalist nurse icu clinician medical student emergency-physician icu-physician hospital-administrator platform-admin hospital medium guided aki staging support using kdigo creatinine and urine output context does not diagnose etiology or recommend therapy src pages tools nephrologyassistantpage tsx src services clinicalchatservice ts toolinventory test ts clinicaltoolidcontract test ts clinicaltoolaliassync test ts medicaltoolscatalogindex test ts medicalexpansioncrosspackvalidation test ts clinicalcataloglaunch test js ai-assisted-tool calculator clinical calculator assistant ai-workflow operations ai-workflow-pack core-platform,ai-assisted-tool|Calculator|clinical|calculator|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,type:tool,role:emergency-physician|role:hospitalist|role:nurse|role:icu-clinician|role:medical-student|role:icu-physician|role:hospital-administrator|role:platform-admin,workspace:clinical|workspace:calculator|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform,8,0.5,0.58
ambient-scribe,ambient-scribe ambient clinical scribe tool calculator tools ambient-scribe ai-workflow-pack core-platform product-core-platform clinical calculator assistant ai-workflow operations emergency physician hospitalist nurse icu clinician medical student emergency-physician icu-physician hospital-administrator platform-admin hospital high tier c documentation workflow for speech-to-text soap notes discharge summaries and referral drafts with required clinician review api clinical-intelligence ambient-scribe generate src pages tools ambientscribe tsx src services clinicalintelligenceapi ts toolinventory test ts clinicaltoolidcontract test ts clinicaltoolaliassync test ts medicaltoolscatalogindex test ts medicalexpansioncrosspackvalidation test ts clinicalcataloglaunch test js tool calculator clinical calculator assistant ai-workflow operations ai-workflow-pack core-platform,tool|Calculator|clinical|calculator|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,type:tool,role:emergency-physician|role:hospitalist|role:nurse|role:icu-clinician|role:medical-student|role:icu-physician|role:hospital-administrator|role:platform-admin,workspace:clinical|workspace:calculator|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform,9,0.8,0.82
anion-gap,anion-gap anion gap calculator calculator tools calculators anion-gap core-platform product-core-platform clinical calculator operations emergency physician hospitalist nurse icu clinician medical student emergency-physician icu-physician hospital-administrator platform-admin hospital medium serum anion gap with optional albumin correction for acid-base review api tools anion-gap execute src pages tools calculators tsx src services clinicalorchestratorapi ts toolinventory test ts clinicaltoolidcontract test ts clinicaltoolaliassync test ts medicaltoolscatalogindex test ts medicalexpansioncrosspackvalidation test ts clinicalcataloglaunch test js calculator calculator clinical operations core-platform,calculator|Calculator|clinical|operations|core-platform,type:calculator,role:emergency-physician|role:hospitalist|role:nurse|role:icu-clinician|role:medical-student|role:icu-physician|role:hospital-administrator|role:platform-admin,workspace:clinical|workspace:calculator|workspace:operations,pack:core-platform,9,0.5,0.98
antibiotic-guide,antibiotic-guide antibiotic guide tool diagnostic tools diagnosis cardiology-pack laboratory-intelligence medical-iot-pack hospital-operations digital-twin-pack product-cardiology product-laboratory product-medical-iot product-hospital-operations product-digital-twin iot operations hospital-operations cardiology clinical pharmacy diagnostic laboratory medical-iot maps biomedical engineer icu clinician nurse administrator cardiologist emergency physician hospitalist pharmacist emergency-physician icu-physician hospital-administrator platform-admin hospital low empiric antimicrobial choice src pages tools diagnosisassistant tsx src services clinicalchatservice ts toolinventory test ts clinicaltoolidcontract test ts clinicaltoolaliassync test ts medicaltoolscatalogindex test ts medicalexpansioncrosspackvalidation test ts clinicalcataloglaunch test js tool diagnostic iot operations hospital-operations cardiology clinical pharmacy diagnostic laboratory medical-iot maps cardiology-pack laboratory-intelligence medical-iot-pack digital-twin-pack,tool|Diagnostic|iot|operations|hospital-operations|cardiology|clinical|pharmacy|diagnostic|laboratory|medical-iot|maps|cardiology-pack|laboratory-intelligence|medical-iot-pack|digital-twin-pack,type:tool,role:biomedical-engineer|role:icu-clinician|role:nurse|role:administrator|role:cardiologist|role:emergency-physician|role:hospitalist|role:pharmacist|role:icu-physician|role:hospital-administrator|role:platform-admin,workspace:iot|workspace:operations|workspace:hospital-operations|workspace:cardiology|workspace:clinical|workspace:pharmacy|workspace:diagnostic|workspace:laboratory|workspace:medical-iot|workspace:maps,pack:cardiology-pack|pack:laboratory-intelligence|pack:medical-iot-pack|pack:hospital-operations|pack:digital-twin-pack,8,0.2,0.58
apache2-calculator,apache2-calculator apache-ii calculator calculator tools calculators apache-ii icu-pack product-icu clinical calculator icu emergency physician hospitalist nurse icu clinician medical student emergency-physician icu-physician hospital-administrator platform-admin hospital medium apache ii icu severity scoring from validated point bands gcs age and chronic health mortality estimates are diagnosis-specific and not generated api tools apache2-calculator execute src pages tools calculators tsx src services clinicalorchestratorapi ts toolinventory test ts clinicaltoolidcontract test ts clinicaltoolaliassync test ts medicaltoolscatalogindex test ts medicalexpansioncrosspackvalidation test ts clinicalcataloglaunch test js calculator calculator clinical icu icu-pack,calculator|Calculator|clinical|icu|icu-pack,type:calculator,role:emergency-physician|role:hospitalist|role:nurse|role:icu-clinician|role:medical-student|role:icu-physician|role:hospital-administrator|role:platform-admin,workspace:clinical|workspace:calculator|workspace:icu,pack:icu-pack,9,0.5,0.98
apgar-score,apgar-score apgar score calculator calculator tools calculators apgar-score core-platform product-core-platform pediatrics clinical calculator operations pediatric clinician nurse medical student emergency-physician icu-physician hospital-administrator platform-admin hospital medium apgar score for newborn status at 1 and 5 minutes appearance pulse grimace activity respiration 0 10 each src pages tools calculators tsx toolinventory test ts clinicaltoolidcontract test ts clinicaltoolaliassync test ts medicaltoolscatalogindex test ts medicalexpansioncrosspackvalidation test ts clinicalcataloglaunch test js calculator calculator pediatrics clinical operations core-platform,calculator|Calculator|pediatrics|clinical|operations|core-platform,type:calculator,role:pediatric-clinician|role:nurse|role:medical-student|role:emergency-physician|role:icu-physician|role:hospital-administrator|role:platform-admin,workspace:pediatrics|workspace:clinical|workspace:calculator|workspace:operations,pack:core-platform,7,0.5,0.62
api-delete-api-auth-biometric-delete-deviceid,api-delete-api-auth-biometric-delete-deviceid delete api auth biometric delete deviceid api-endpoint biometriccontroller api auth biometric delete deviceid unknown unknown backend unknown unknown high biometriccontroller exposes delete api auth biometric delete deviceid biometriccontroller api delete biometriccontroller,api|DELETE|BiometricController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-delete-api-auth-biometric-disable-deviceid,api-delete-api-auth-biometric-disable-deviceid delete api auth biometric disable deviceid api-endpoint biometriccontroller api auth biometric disable deviceid unknown unknown backend unknown unknown high biometriccontroller exposes delete api auth biometric disable deviceid biometriccontroller api delete biometriccontroller,api|DELETE|BiometricController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
