inputText,targetArtifactId,targetCategory,targetWorkspace,targetPack,targetProduct,labelType,confidence
/artifacts,ai-artifacts,AI System,admin|iot|operations|hospital-operations|assistant|ai-workflow|clinical|medical-iot|maps,ai-workflow-pack|core-platform|medical-iot-pack|hospital-operations|digital-twin-pack,product-core-platform|product-medical-iot|product-hospital-operations|product-digital-twin,route,0.9
ai-assisted-tool|AI System|admin|iot|operations|hospital-operations|assistant|ai-workflow|clinical|medical-iot|maps|ai-workflow-pack|core-platform|medical-iot-pack|digital-twin-pack,ai-artifacts,AI System,admin|iot|operations|hospital-operations|assistant|ai-workflow|clinical|medical-iot|maps,ai-workflow-pack|core-platform|medical-iot-pack|hospital-operations|digital-twin-pack,product-core-platform|product-medical-iot|product-hospital-operations|product-digital-twin,tags,0.78
"Artifact workspace for saved AI outputs, workflow assets, telemetry schemas, protocols, and templates.",ai-artifacts,AI System,admin|iot|operations|hospital-operations|assistant|ai-workflow|clinical|medical-iot|maps,ai-workflow-pack|core-platform|medical-iot-pack|hospital-operations|digital-twin-pack,product-core-platform|product-medical-iot|product-hospital-operations|product-digital-twin,intent,0.88
AI Command Center,ai-command-center,AI System,admin|hospital-operations|operations|research|reference|assistant|ai-workflow|clinical|maps|education,ai-workflow-pack|core-platform|hospital-operations|digital-twin-pack|research-education,product-core-platform|product-hospital-operations|product-digital-twin|product-research,name,0.92
/ai-command-center,ai-command-center,AI System,admin|hospital-operations|operations|research|reference|assistant|ai-workflow|clinical|maps|education,ai-workflow-pack|core-platform|hospital-operations|digital-twin-pack|research-education,product-core-platform|product-hospital-operations|product-digital-twin|product-research,route,0.9
ai-assisted-tool|AI System|admin|hospital-operations|operations|research|reference|assistant|ai-workflow|clinical|maps|education|ai-workflow-pack|core-platform|digital-twin-pack|research-education,ai-command-center,AI System,admin|hospital-operations|operations|research|reference|assistant|ai-workflow|clinical|maps|education,ai-workflow-pack|core-platform|hospital-operations|digital-twin-pack|research-education,product-core-platform|product-hospital-operations|product-digital-twin|product-research,tags,0.78
"Unified AI operations dashboard spanning health, active experts, RAG, memory, tools, costs, hallucination, retrieval, and audit logs.",ai-command-center,AI System,admin|hospital-operations|operations|research|reference|assistant|ai-workflow|clinical|maps|education,ai-workflow-pack|core-platform|hospital-operations|digital-twin-pack|research-education,product-core-platform|product-hospital-operations|product-digital-twin|product-research,intent,0.88
AI Cost Optimization,ai-cost-optimization,AI System,admin|cardiology|clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|cardiology-pack,product-core-platform|product-cardiology,name,0.92
/costs,ai-cost-optimization,AI System,admin|cardiology|clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|cardiology-pack,product-core-platform|product-cardiology,route,0.9
ai-assisted-tool|AI System|admin|cardiology|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|cardiology-pack,ai-cost-optimization,AI System,admin|cardiology|clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|cardiology-pack,product-core-platform|product-cardiology,tags,0.78
"Cost optimizer dashboard for route prediction, cache metrics, token spend, and savings snapshots.",ai-cost-optimization,AI System,admin|cardiology|clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|cardiology-pack,product-core-platform|product-cardiology,intent,0.88
AI Evaluation,ai-evaluation,AI System,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,name,0.92
/ai-evaluation,ai-evaluation,AI System,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,route,0.9
ai-assisted-tool|AI System|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,ai-evaluation,AI System,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,tags,0.78
"Evaluation framework for hallucination, accuracy, latency, retrieval precision, tool success, satisfaction, and cost metrics.",ai-evaluation,AI System,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,intent,0.88
AI Explainability,ai-explainability,Reference,clinical|reference|governance|audit|assistant|ai-workflow|operations,governance-compliance-pack|ai-workflow-pack|core-platform,product-governance|product-core-platform,name,0.92
/tools/ai-explainability,ai-explainability,Reference,clinical|reference|governance|audit|assistant|ai-workflow|operations,governance-compliance-pack|ai-workflow-pack|core-platform,product-governance|product-core-platform,route,0.9
tool|Reference|clinical|reference|governance|audit|assistant|ai-workflow|operations|governance-compliance-pack|ai-workflow-pack|core-platform,ai-explainability,Reference,clinical|reference|governance|audit|assistant|ai-workflow|operations,governance-compliance-pack|ai-workflow-pack|core-platform,product-governance|product-core-platform,tags,0.78
"Tier C clinical intelligence workflow that displays confidence, sources, reasoning, tool chain, and sanitized execution logs",ai-explainability,Reference,clinical|reference|governance|audit|assistant|ai-workflow|operations,governance-compliance-pack|ai-workflow-pack|core-platform,product-governance|product-core-platform,intent,0.88
AI Gateway,ai-gateway,AI System,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,name,0.92
/assistant,ai-gateway,AI System,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,route,0.9
ai-assisted-tool|AI System|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,ai-gateway,AI System,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,tags,0.78
"Assistant gateway surface for routing, trace metadata, safety policy context, and guarded clinical AI responses.",ai-gateway,AI System,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,intent,0.88
AI Governance,ai-governance,AI System,admin|governance|audit|assistant|ai-workflow|clinical|operations,governance-compliance-pack|ai-workflow-pack|core-platform,product-governance|product-core-platform,name,0.92
/ai-governance,ai-governance,AI System,admin|governance|audit|assistant|ai-workflow|clinical|operations,governance-compliance-pack|ai-workflow-pack|core-platform,product-governance|product-core-platform,route,0.9
governance|AI System|admin|audit|assistant|ai-workflow|clinical|operations|governance-compliance-pack|ai-workflow-pack|core-platform,ai-governance,AI System,admin|governance|audit|assistant|ai-workflow|clinical|operations,governance-compliance-pack|ai-workflow-pack|core-platform,product-governance|product-core-platform,tags,0.78
AI Memory,ai-memory,AI System,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,name,0.92
/memory,ai-memory,AI System,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,route,0.9
ai-assisted-tool|AI System|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,ai-memory,AI System,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,tags,0.78
"Memory dashboard for short, long, and clinical context used to personalize assistant workflows.",ai-memory,AI System,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,intent,0.88
RAG Evidence Engine,ai-rag,AI System,research|reference|assistant|ai-workflow|clinical|operations|education,ai-workflow-pack|core-platform|research-education,product-core-platform|product-research,name,0.92
/tools/guideline-rag,ai-rag,AI System,research|reference|assistant|ai-workflow|clinical|operations|education,ai-workflow-pack|core-platform|research-education,product-core-platform|product-research,route,0.9
ai-assisted-tool|AI System|research|reference|assistant|ai-workflow|clinical|operations|education|ai-workflow-pack|core-platform|research-education,ai-rag,AI System,research|reference|assistant|ai-workflow|clinical|operations|education,ai-workflow-pack|core-platform|research-education,product-core-platform|product-research,tags,0.78
"Retrieval-augmented evidence engine for guideline lookup, citations, source panels, and grounded assistant responses.",ai-rag,AI System,research|reference|assistant|ai-workflow|clinical|operations|education,ai-workflow-pack|core-platform|research-education,product-core-platform|product-research,intent,0.88
AI Run Audit Timeline,ai-run-audit-timeline,Other,admin|assistant|ai-workflow|clinical|operations|governance|audit,ai-workflow-pack|core-platform|governance-compliance-pack,product-core-platform|product-governance,name,0.92
/audit/ai,ai-run-audit-timeline,Other,admin|assistant|ai-workflow|clinical|operations|governance|audit,ai-workflow-pack|core-platform|governance-compliance-pack,product-core-platform|product-governance,route,0.9
governance|Other|admin|assistant|ai-workflow|clinical|operations|audit|ai-workflow-pack|core-platform|governance-compliance-pack,ai-run-audit-timeline,Other,admin|assistant|ai-workflow|clinical|operations|governance|audit,ai-workflow-pack|core-platform|governance-compliance-pack,product-core-platform|product-governance,tags,0.78
LLM Security,ai-security,AI System,admin|governance|audit|assistant|ai-workflow|clinical|operations,governance-compliance-pack|ai-workflow-pack|core-platform,product-governance|product-core-platform,name,0.92
/security,ai-security,AI System,admin|governance|audit|assistant|ai-workflow|clinical|operations,governance-compliance-pack|ai-workflow-pack|core-platform,product-governance|product-core-platform,route,0.9
governance|AI System|admin|audit|assistant|ai-workflow|clinical|operations|governance-compliance-pack|ai-workflow-pack|core-platform,ai-security,AI System,admin|governance|audit|assistant|ai-workflow|clinical|operations,governance-compliance-pack|ai-workflow-pack|core-platform,product-governance|product-core-platform,tags,0.78
AI Tool Calling,ai-tool-calling,AI System,admin|assistant|ai-workflow|clinical|operations,ai-workflow-pack|core-platform,product-core-platform,name,0.92
/assistant,ai-tool-calling,AI System,admin|assistant|ai-workflow|clinical|operations,ai-workflow-pack|core-platform,product-core-platform,route,0.9
ai-assisted-tool|AI System|admin|assistant|ai-workflow|clinical|operations|ai-workflow-pack|core-platform,ai-tool-calling,AI System,admin|assistant|ai-workflow|clinical|operations,ai-workflow-pack|core-platform,product-core-platform,tags,0.78
"Guarded tool-calling workflow for tool resolution, parameter validation, structured tool context, and unsupported-tool boundaries.",ai-tool-calling,AI System,admin|assistant|ai-workflow|clinical|operations,ai-workflow-pack|core-platform,product-core-platform,intent,0.88
AI Training Pipeline,ai-training,AI System,simulation|education|clinical|training|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|simulation-training-pack,product-core-platform|product-simulation-training,name,0.92
/training,ai-training,AI System,simulation|education|clinical|training|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|simulation-training-pack,product-core-platform|product-simulation-training,route,0.9
ai-assisted-tool|AI System|simulation|education|clinical|training|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|simulation-training-pack,ai-training,AI System,simulation|education|clinical|training|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|simulation-training-pack,product-core-platform|product-simulation-training,tags,0.78
"Training and MoE planning dashboard for governed AI iteration, datasets, and model improvement loops.",ai-training,AI System,simulation|education|clinical|training|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|simulation-training-pack,product-core-platform|product-simulation-training,intent,0.88
AKI Staging Assistant,aki-staging-assistant,Calculator,clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,name,0.92
/tools/nephrology/aki-staging-assistant,aki-staging-assistant,Calculator,clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,route,0.9
ai-assisted-tool|Calculator|clinical|calculator|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,aki-staging-assistant,Calculator,clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,tags,0.78
Guided AKI staging support using KDIGO creatinine and urine output context. Does not diagnose etiology or recommend therapy.,aki-staging-assistant,Calculator,clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,intent,0.88
Ambient Clinical Scribe,ambient-scribe,Calculator,clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,name,0.92
/tools/ambient-scribe,ambient-scribe,Calculator,clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,route,0.9
tool|Calculator|clinical|calculator|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,ambient-scribe,Calculator,clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,tags,0.78
"Tier C documentation workflow for speech-to-text, SOAP notes, discharge summaries, and referral drafts with required clinician review",ambient-scribe,Calculator,clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,intent,0.88
Anion Gap,anion-gap,Calculator,clinical|calculator|operations,core-platform,product-core-platform,name,0.92
/tools/calculators/anion-gap,anion-gap,Calculator,clinical|calculator|operations,core-platform,product-core-platform,route,0.9
calculator|Calculator|clinical|operations|core-platform,anion-gap,Calculator,clinical|calculator|operations,core-platform,product-core-platform,tags,0.78
Serum anion gap with optional albumin correction for acid-base review.,anion-gap,Calculator,clinical|calculator|operations,core-platform,product-core-platform,intent,0.88
Antibiotic Guide,antibiotic-guide,Diagnostic,iot|operations|hospital-operations|cardiology|clinical|pharmacy|diagnostic|laboratory|medical-iot|maps,cardiology-pack|laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,product-cardiology|product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin,name,0.92
/tools/diagnosis,antibiotic-guide,Diagnostic,iot|operations|hospital-operations|cardiology|clinical|pharmacy|diagnostic|laboratory|medical-iot|maps,cardiology-pack|laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,product-cardiology|product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin,route,0.9
tool|Diagnostic|iot|operations|hospital-operations|cardiology|clinical|pharmacy|diagnostic|laboratory|medical-iot|maps|cardiology-pack|laboratory-intelligence|medical-iot-pack|digital-twin-pack,antibiotic-guide,Diagnostic,iot|operations|hospital-operations|cardiology|clinical|pharmacy|diagnostic|laboratory|medical-iot|maps,cardiology-pack|laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,product-cardiology|product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin,tags,0.78
Empiric antimicrobial choice.,antibiotic-guide,Diagnostic,iot|operations|hospital-operations|cardiology|clinical|pharmacy|diagnostic|laboratory|medical-iot|maps,cardiology-pack|laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,product-cardiology|product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin,intent,0.88
APACHE-II,apache2-calculator,Calculator,clinical|calculator|icu,icu-pack,product-icu,name,0.92
/tools/calculators/apache-ii,apache2-calculator,Calculator,clinical|calculator|icu,icu-pack,product-icu,route,0.9
calculator|Calculator|clinical|icu|icu-pack,apache2-calculator,Calculator,clinical|calculator|icu,icu-pack,product-icu,tags,0.78
"APACHE II ICU severity scoring from validated point bands, GCS, age, and chronic health. Mortality estimates are diagnosis-specific and not generated.",apache2-calculator,Calculator,clinical|calculator|icu,icu-pack,product-icu,intent,0.88
Apgar score,apgar-score,Calculator,pediatrics|clinical|calculator|operations,core-platform,product-core-platform,name,0.92
/tools/calculators/apgar-score,apgar-score,Calculator,pediatrics|clinical|calculator|operations,core-platform,product-core-platform,route,0.9
calculator|Calculator|pediatrics|clinical|operations|core-platform,apgar-score,Calculator,pediatrics|clinical|calculator|operations,core-platform,product-core-platform,tags,0.78
"Apgar score for newborn status at 1 and 5 minutes (appearance, pulse, grimace, activity, respiration; 0–10 each).",apgar-score,Calculator,pediatrics|clinical|calculator|operations,core-platform,product-core-platform,intent,0.88
DELETE /api/auth/biometric/delete/:deviceId,api-delete-api-auth-biometric-delete-deviceid,BiometricController,backend,unknown,unknown,name,0.92
/api/auth/biometric/delete/:deviceId,api-delete-api-auth-biometric-delete-deviceid,BiometricController,backend,unknown,unknown,route,0.9
api|DELETE|BiometricController,api-delete-api-auth-biometric-delete-deviceid,BiometricController,backend,unknown,unknown,tags,0.78
DELETE /api/auth/biometric/disable/:deviceId,api-delete-api-auth-biometric-disable-deviceid,BiometricController,backend,unknown,unknown,name,0.92
/api/auth/biometric/disable/:deviceId,api-delete-api-auth-biometric-disable-deviceid,BiometricController,backend,unknown,unknown,route,0.9
api|DELETE|BiometricController,api-delete-api-auth-biometric-disable-deviceid,BiometricController,backend,unknown,unknown,tags,0.78
DELETE /api/collaboration/channels/:channelId/external-links/:provider,api-delete-api-collaboration-channels-channelid-external-links-provider,CollaborationHubController,backend,unknown,unknown,name,0.92
/api/collaboration/channels/:channelId/external-links/:provider,api-delete-api-collaboration-channels-channelid-external-links-provider,CollaborationHubController,backend,unknown,unknown,route,0.9
api|DELETE|CollaborationHubController,api-delete-api-collaboration-channels-channelid-external-links-provider,CollaborationHubController,backend,unknown,unknown,tags,0.78
DELETE /api/collaboration/messages/:messageId,api-delete-api-collaboration-messages-messageid,CollaborationHubController,backend,unknown,unknown,name,0.92
/api/collaboration/messages/:messageId,api-delete-api-collaboration-messages-messageid,CollaborationHubController,backend,unknown,unknown,route,0.9
api|DELETE|CollaborationHubController,api-delete-api-collaboration-messages-messageid,CollaborationHubController,backend,unknown,unknown,tags,0.78
DELETE /api/collaboration/messages/:messageId/pin,api-delete-api-collaboration-messages-messageid-pin,CollaborationHubController,backend,unknown,unknown,name,0.92
/api/collaboration/messages/:messageId/pin,api-delete-api-collaboration-messages-messageid-pin,CollaborationHubController,backend,unknown,unknown,route,0.9
api|DELETE|CollaborationHubController,api-delete-api-collaboration-messages-messageid-pin,CollaborationHubController,backend,unknown,unknown,tags,0.78
DELETE /api/collaboration/messages/:messageId/reactions/:emoji,api-delete-api-collaboration-messages-messageid-reactions-emoji,CollaborationHubController,backend,unknown,unknown,name,0.92
/api/collaboration/messages/:messageId/reactions/:emoji,api-delete-api-collaboration-messages-messageid-reactions-emoji,CollaborationHubController,backend,unknown,unknown,route,0.9
api|DELETE|CollaborationHubController,api-delete-api-collaboration-messages-messageid-reactions-emoji,CollaborationHubController,backend,unknown,unknown,tags,0.78
DELETE /api/compliance/delete-account,api-delete-api-compliance-delete-account,ComplianceController,backend,unknown,unknown,name,0.92
/api/compliance/delete-account,api-delete-api-compliance-delete-account,ComplianceController,backend,unknown,unknown,route,0.9
api|DELETE|ComplianceController,api-delete-api-compliance-delete-account,ComplianceController,backend,unknown,unknown,tags,0.78
DELETE /api/drugs/:id,api-delete-api-drugs-id,DrugController,backend,unknown,unknown,name,0.92
/api/drugs/:id,api-delete-api-drugs-id,DrugController,backend,unknown,unknown,route,0.9
api|DELETE|DrugController,api-delete-api-drugs-id,DrugController,backend,unknown,unknown,tags,0.78
DELETE /api/notifications/devices/:token,api-delete-api-notifications-devices-token,NotificationController,backend,unknown,unknown,name,0.92
/api/notifications/devices/:token,api-delete-api-notifications-devices-token,NotificationController,backend,unknown,unknown,route,0.9
api|DELETE|NotificationController,api-delete-api-notifications-devices-token,NotificationController,backend,unknown,unknown,tags,0.78
DELETE /api/notifications/:id,api-delete-api-notifications-id,NotificationController,backend,unknown,unknown,name,0.92
/api/notifications/:id,api-delete-api-notifications-id,NotificationController,backend,unknown,unknown,route,0.9
api|DELETE|NotificationController,api-delete-api-notifications-id,NotificationController,backend,unknown,unknown,tags,0.78
DELETE /api/personalization/me/saved-prompts/:promptId,api-delete-api-personalization-me-saved-prompts-promptid,PersonalizationController,backend,unknown,unknown,name,0.92
/api/personalization/me/saved-prompts/:promptId,api-delete-api-personalization-me-saved-prompts-promptid,PersonalizationController,backend,unknown,unknown,route,0.9
api|DELETE|PersonalizationController,api-delete-api-personalization-me-saved-prompts-promptid,PersonalizationController,backend,unknown,unknown,tags,0.78
DELETE /api/protocols/:id,api-delete-api-protocols-id,ProtocolController,backend,unknown,unknown,name,0.92
/api/protocols/:id,api-delete-api-protocols-id,ProtocolController,backend,unknown,unknown,route,0.9
api|DELETE|ProtocolController,api-delete-api-protocols-id,ProtocolController,backend,unknown,unknown,tags,0.78
DELETE /api/two-factor/disable,api-delete-api-two-factor-disable,TwoFactorController,backend,unknown,unknown,name,0.92
/api/two-factor/disable,api-delete-api-two-factor-disable,TwoFactorController,backend,unknown,unknown,route,0.9
api|DELETE|TwoFactorController,api-delete-api-two-factor-disable,TwoFactorController,backend,unknown,unknown,tags,0.78
GET /api/activity/me,api-get-api-activity-me,UserActivityController,backend,unknown,unknown,name,0.92
/api/activity/me,api-get-api-activity-me,UserActivityController,backend,unknown,unknown,route,0.9
api|GET|UserActivityController,api-get-api-activity-me,UserActivityController,backend,unknown,unknown,tags,0.78
GET /api/activity/me/summary,api-get-api-activity-me-summary,UserActivityController,backend,unknown,unknown,name,0.92
/api/activity/me/summary,api-get-api-activity-me-summary,UserActivityController,backend,unknown,unknown,route,0.9
api|GET|UserActivityController,api-get-api-activity-me-summary,UserActivityController,backend,unknown,unknown,tags,0.78
GET /api/activity/workspaces/:workspaceId,api-get-api-activity-workspaces-workspaceid,UserActivityController,backend,unknown,unknown,name,0.92
/api/activity/workspaces/:workspaceId,api-get-api-activity-workspaces-workspaceid,UserActivityController,backend,unknown,unknown,route,0.9
api|GET|UserActivityController,api-get-api-activity-workspaces-workspaceid,UserActivityController,backend,unknown,unknown,tags,0.78
GET /api/agents,api-get-api-agents,ProductCatalogController,backend,unknown,unknown,name,0.92
/api/agents,api-get-api-agents,ProductCatalogController,backend,unknown,unknown,route,0.9
api|GET|ProductCatalogController,api-get-api-agents,ProductCatalogController,backend,unknown,unknown,tags,0.78
GET /api/ai-governance/summary,api-get-api-ai-governance-summary,GovernanceController,backend,unknown,unknown,name,0.92
/api/ai-governance/summary,api-get-api-ai-governance-summary,GovernanceController,backend,unknown,unknown,route,0.9
api|GET|GovernanceController,api-get-api-ai-governance-summary,GovernanceController,backend,unknown,unknown,tags,0.78
GET /api/ai/organizations/:organizationId/usage,api-get-api-ai-organizations-organizationid-usage,AIController,backend,unknown,unknown,name,0.92
/api/ai/organizations/:organizationId/usage,api-get-api-ai-organizations-organizationid-usage,AIController,backend,unknown,unknown,route,0.9
api|GET|AIController,api-get-api-ai-organizations-organizationid-usage,AIController,backend,unknown,unknown,tags,0.78
GET /api/ai/remaining-queries,api-get-api-ai-remaining-queries,AiController,backend,unknown,unknown,name,0.92
/api/ai/remaining-queries,api-get-api-ai-remaining-queries,AiController,backend,unknown,unknown,route,0.9
api|GET|AiController,api-get-api-ai-remaining-queries,AiController,backend,unknown,unknown,tags,0.78
GET /api/ai/usage,api-get-api-ai-usage,AiController,backend,unknown,unknown,name,0.92
/api/ai/usage,api-get-api-ai-usage,AiController,backend,unknown,unknown,route,0.9
api|GET|AiController,api-get-api-ai-usage,AiController,backend,unknown,unknown,tags,0.78
GET /api/alerts/devices,api-get-api-alerts-devices,TelemetryController,backend,unknown,unknown,name,0.92
/api/alerts/devices,api-get-api-alerts-devices,TelemetryController,backend,unknown,unknown,route,0.9
api|GET|TelemetryController,api-get-api-alerts-devices,TelemetryController,backend,unknown,unknown,tags,0.78
GET /api/analytics/metrics,api-get-api-analytics-metrics,AnalyticsController,backend,unknown,unknown,name,0.92
/api/analytics/metrics,api-get-api-analytics-metrics,AnalyticsController,backend,unknown,unknown,route,0.9
api|GET|AnalyticsController,api-get-api-analytics-metrics,AnalyticsController,backend,unknown,unknown,tags,0.78
GET /api/artifacts,api-get-api-artifacts,ArtifactsController,backend,unknown,unknown,name,0.92
